K0079V001P01L01; 大方廣佛華嚴經卷第一  湯 
K0079V001P01L02; 東晉天竺三藏佛馱跋陀羅     譯
K0079V001P01L03; 世閒淨眼品第一之一
K0079V001P01L04; 如是我聞一時佛在摩竭提國寂滅道場始
K0079V001P01L05; 成正覺其地金剛具足嚴淨衆寶雜華以爲
K0079V001P01L06; 莊飾上妙寶輪圓滿淸淨無量妙色種種莊
K0079V001P01L07; 嚴猶如大海寶幢幡蓋光明照耀妙香華鬘
K0079V001P01L08; 周帀圍遶七寶羅網彌覆其上雨無盡寶顯
K0079V001P01L09; 現自在諸雜寶樹華葉光茂佛神力故令此
K0079V001P01L10; 場地廣博嚴淨光明普照一切奇特妙寶積
K0079V001P01L11; 聚無量善根莊嚴道場其菩提樹高顯殊特
K0079V001P01L12; 淸淨瑠璃以爲其幹妙寶枝條莊嚴淸淨寶
K0079V001P01L13; 葉垂布猶如重雲雜色寶華閒錯其閒如意
K0079V001P01L14; 摩尼以爲其果樹光普照十方世界種種現
K0079V001P01L15; 化施作佛事不可盡極普現大乘菩薩道教
K0079V001P01L16; 佛神力故常出一切衆妙之音讚揚如來無
K0079V001P01L17; 量功德不可思議師子之座猶如大海衆妙
K0079V001P01L18; 寶華而爲嚴飾流光如雲周徧普照無數菩
K0079V001P01L19; 薩大海之藏大音遠震不可思議如來光明
K0079V001P01L20; 逾摩尼尊彌覆其上種種變化施作佛事一
K0079V001P01L21; 切悉睹無所罣礙於一念頃一切現化充滿
K0079V001P01L22; 法界如來妙藏無不徧至無量衆寶莊嚴寶
K0079V001P01L23; 臺如來處此寶師子座於一切法成最正覺
K0079V001P01L24; 了三世法平等智身普入一切世閒之身妙
K0079V001P02L02; 音徧至一切世界不可窮盡猶如虛空平等
K0079V001P02L03; 法相智慧行處猶如虛空等心隨順一切衆
K0079V001P02L04; 生其身徧坐一切道場悉知一切衆生所行
K0079V001P02L05; 智慧日光照除衆冥悉能顯現諸佛國土普
K0079V001P02L06; 放三世智海光明照淨境界無量光明充滿
K0079V001P02L07; 十方不壞法雲徧覆一切以力無畏顯現無
K0079V001P02L08; 量自在力光開方便門教化衆生悉能普現
K0079V001P02L09; 一切衆會猶如虛空而無來去了達一切無
K0079V001P02L10; 有自性隨順諸法平等之相一切光明普現
K0079V001P02L11; 三世諸佛所行諸佛世界猶如大海不可思
K0079V001P02L12; 議音聲語言悉能隨順
K0079V001P02L13; 與十佛世界微塵數等大菩薩俱其名曰普
K0079V001P02L14; 賢菩薩普德智光菩薩普明師子菩薩普勝
K0079V001P02L15; 寶光菩薩普德海幢菩薩普慧光照菩薩普
K0079V001P02L16; 寶華幢菩薩普勝軟音菩薩普淨德焰菩薩

K0079V001P02L17; 普相光明菩薩大光海月菩薩雲音海藏菩
K0079V001P02L18; 薩德寶勝月菩薩淨慧光焰自在王菩薩超
K0079V001P02L19; 趣華光菩薩無量智雲日光菩薩大力精進
K0079V001P02L20; 金剛菩薩香焰光幢菩薩月德妙音菩薩光
K0079V001P02L21; 明尊德菩薩與如是等諸菩薩俱皆是盧舍
K0079V001P02L22; 那佛宿世善友一切成就功德大海諸波羅
K0079V001P02L23; 蜜周滿普照慧眼淸淨等觀三世於諸三昧
K0079V001P02L24; 具足明淨辯才大海深廣無盡普現諸佛功
K0079V001P02L25; 德光耀善知一切衆生心行如應調伏以金
K0079V001P03L02; 剛智普照境界同一法性覺慧廣大甚深智
K0079V001P03L03; 境靡不明達住於一地普攝一切諸地功德
K0079V001P03L04; 無上智願皆已成滿具足如來深廣密教悉
K0079V001P03L05; 得一切佛所共法皆同如來行地德力一切
K0079V001P03L06; 三昧海門皆得自在於衆生海如應示現隨
K0079V001P03L07; 其所行善能建立善入一切諸法之海迴轉
K0079V001P03L08; 㧾持如來一切功德法海充滿其身徧遊一
K0079V001P03L09; 切佛世界海出生一切淨土願海悉得諸佛
K0079V001P03L10; 達未來際方便智慧一切如來坐道場者普
K0079V001P03L11; 能往詣禮事供養悉得一切普賢願海於諸
K0079V001P03L12; 衆生智身滿足復有佛世界微塵數金剛力
K0079V001P03L13; 士其名曰堅固光耀力士日光耀力士須彌
K0079V001P03L14; 華力士淨雲音力士阿脩羅主力士勝光明
K0079V001P03L15; 力士樹音聲力士師子王力士淳厚光藏力
K0079V001P03L16; 士珠髻華光力士與如是等諸力士俱已於
K0079V001P03L17; 阿僧祇劫發大誓願侍衛諸佛佛願行處皆
K0079V001P03L18; 已具足無量功德皆已淸淨悉行深廣三昧
K0079V001P03L19; 境界無量神力佛所遊處無不徧至皆悉能
K0079V001P03L20; 行不可思議解脫境界處一切衆其身殊特
K0079V001P03L21; 無能映蔽隨諸衆生所應度者能現其身如
K0079V001P03L22; 應化之復有佛世界微塵數諸道場神其名
K0079V001P03L23; 曰淨莊嚴神寶積光明神吼音聲神雨衆華
K0079V001P03L24; 神莊嚴寶光神善超香神金色雲神樂華樹
K0079V001P03L25; 神莊嚴光神與如是等道場神俱皆於先佛
K0079V001P04L02; 造立願行復與佛世界微塵數諸龍神俱其
K0079V001P04L03; 名曰摩尼光龍雜莊嚴龍喜寶光龍淨身光
K0079V001P04L04; 龍香莊嚴龍寶目光龍如是一切皆於過去
K0079V001P04L05; 不可思議阿僧祇劫常爲如來莊嚴法堂復
K0079V001P04L06; 與佛世界微塵數諸地神俱其名曰淨華光
K0079V001P04L07; 神善思光明神雜華莊嚴神散寶焰神隨時
K0079V001P04L08; 樂觀神金眼勝神毛孔散香神應時和音神
K0079V001P04L09; 如是一切皆同德本於過去佛所普修願行
K0079V001P04L10; 復與不可思議諸樹神俱其名曰雜華雲神
K0079V001P04L11; 雜種光神淨勝光神垂莊嚴神莊嚴光神樂
K0079V001P04L12; 和音神普勝等神華果味神如是一切皆悉
K0079V001P04L13; 成就大喜普照復與無邊藥草神俱其名曰
K0079V001P04L14; 光焰神栴檀香神淨光神普稱神普力神普
K0079V001P04L15; 淨神普光神愛香神勝現神如是一切皆悉
K0079V001P04L16; 成就大悲普照復與無量諸穀神俱其名曰
K0079V001P04L17; 勝味神華淨神善力神勢味神根果神淨華
K0079V001P04L18; 神樂淨神淨光神如是一切大喜成就復與
K0079V001P04L19; 無量諸河神俱其名曰普流神勝洄澓神洪
K0079V001P04L20; 流聲神養水性神淨海光神普愛神妙幢神
K0079V001P04L21; 勝水神海具光神如是一切常能精勤利益
K0079V001P04L22; 衆生復與不可思議諸海神俱其名曰寶勝
K0079V001P04L23; 光明神金剛慧神普涌浪神雜華龍勝神寶
K0079V001P04L24; 華光明神須彌莊嚴神海音聲神如是一切
K0079V001P04L25; 以佛無量功德之海而自充滿復與無量阿
K0079V001P05L02; 僧祇諸火神俱其名曰熾然光藏神熾然光
K0079V001P05L03; 輪神廣明耀神無盡神雜寶勝神照除諸冥
K0079V001P05L04; 神焰雲光明神如是一切悉爲衆生照除闇
K0079V001P05L05; 冥復與無量諸風神俱其名曰無礙照明虛
K0079V001P05L06; 空神徧超勝神散須彌神焰淨味神淨除味
K0079V001P05L07; 神發行大音神樹峯華林神持世界神如是
K0079V001P05L08; 一切皆能和合衆生令不分散復與無邊虛
K0079V001P05L09; 空神俱其名曰普光淨勝神無邊深廣神起
K0079V001P05L10; 風神離一切障神廣超神無對光焰神無礙
K0079V001P05L11; 力勝神最上妙音神示現十方神如是一切
K0079V001P05L12; 心皆無垢堅固淨妙復與無量主方神俱其
K0079V001P05L13; 名曰善住神充滿神無量現光神光莊嚴神
K0079V001P05L14; 普轉漸行神不惑轉神淨遊虛空神普行世
K0079V001P05L15; 閒神行甚深神如是一切皆能善照一切衆
K0079V001P05L16; 生復與無量主夜神俱其名曰妙光神淨光
K0079V001P05L17; 神善觀衆生神靜時堅固神方便勝具神生
K0079V001P05L18; 一切樹果神無盡眷屬神主知樂淨遊戲神
K0079V001P05L19; 和諍神淨福具神如是一切於助道法深重
K0079V001P05L20; 愛樂復與無量主晝神俱其名曰現宮殿神
K0079V001P05L21; 善解安立戰場神樂莊嚴普勝神喜華香神
K0079V001P05L22; 普集勝藥神樂見王神淨目高顯普勝神大
K0079V001P05L23; 悲豔光神光明善照神普勝垂華神如是一
K0079V001P05L24; 切皆悉信樂正法莊嚴復與無量阿脩羅神
K0079V001P05L25; 俱其名曰羅睺羅王毘摩質多羅王睒婆利
K0079V001P06L02; 王明月王金剛堅錦王大智慧力王勝集天
K0079V001P06L03; 女王如是一切悉能降伏憍慢放逸復與無
K0079V001P06L04; 量伽留羅王俱其名曰大勇猛力王無畏寶
K0079V001P06L05; 髻王勇猛淨眼王不退莊嚴王持大海光王
K0079V001P06L06; 持法堅固王勝根光明王充滿普現王普遊
K0079V001P06L07; 諸方王普眼等觀王如是一切成就方便廣
K0079V001P06L08; 潤衆生復與無量緊那羅王俱其名曰善慧
K0079V001P06L09; 王善幢王雜華行王離愛慢音王寶樹光明
K0079V001P06L10; 王善愛現王莊嚴光王善華幢王勝地王勝
K0079V001P06L11; 慧王如是一切普於衆生精勤勸發能使樂
K0079V001P06L12; 法復與無量摩睺羅伽王俱其名曰善慧王
K0079V001P06L13; 淨端嚴音王衆妙慧聚王燈幢王猛光王師
K0079V001P06L14; 子香熏王雜瓔珞音王堅固樂明王如是一
K0079V001P06L15; 切普爲衆生除諸疑網復與無量鳩槃茶王
K0079V001P06L16; 俱其名曰毘樓勒王善修幢王足平鮮白王
K0079V001P06L17; 能除恐怖王淨須彌林王無量淨眼王無量
K0079V001P06L18; 目門王如是一切皆悉修習無礙法門復與
K0079V001P06L19; 無量鬼神王俱其名曰毘沙門王大音聲王
K0079V001P06L20; 淨地王大主王焰眼王堅固眼王莊嚴勝軍
K0079V001P06L21; 王大富淨身王須彌力王如是一切普能勤
K0079V001P06L22; 護一切衆生復與無量月身天子俱其名曰
K0079V001P06L23; 月天子曜華天子勝流莊嚴天子樂諸世樂
K0079V001P06L24; 天子眼光天子淨光天子普遊淨光天子星
K0079V001P06L25; 宿王天子淨覺天子端嚴善光天子如是一
K0079V001P07L02; 切勤以智慧普發衆生無上寶心復與無量
K0079V001P07L03; 日天子俱其名曰日天子眼焰光天子須彌
